Fp_X,Fp_Y,Exponente_obtenido,Exponente_esperado,Mantisa_obtenido,Mantisa_esperado,Resultado_obtenido,Resultado_esperado,R_mode,Signo,Resultado_redondeado
00000000,00000000,81,00,000000,000000,00000000,40800000,000,+,40800000
00000000,00000000,81,00,000000,000000,00000000,40800000,000,+,40800000
55b51413,23338a20,72,72,7dfd79,7dfd79,397dfd79,397dfd79,010,+,397dfd79
171bb5c4,85433311,b9,00,6d7507,000000,80000000,dced7507,001,-,dced7507
171bb5c4,85433311,b9,00,6d7507,000000,80000000,dced7507,001,-,dced7507
554500da,8a58e584,40,40,26e957,26e957,a026e957,a026e957,100,-,a026e957
afc21aab,b6633036,4d,4d,2c4233,2c4234,26ac4234,26ac4234,100,+,26ac4234
e35f7df8,92a33e7b,6d,6d,0e83c0,0e83c1,368e83c1,368e83c1,011,+,368e83c1
c59eaca1,9970808c,3f,3f,151184,151184,1f951184,1f951184,010,+,1f951184
c59eaca1,9970808c,3f,3f,151184,151184,1f951184,1f951184,010,+,1f951184
4af65e61,8c034d09,2e,2e,7cb8dd,7cb8dd,977cb8dd,977cb8dd,011,-,977cb8dd
4af65e61,8c034d09,2e,2e,7cb8dd,7cb8dd,977cb8dd,977cb8dd,011,-,977cb8dd
a50caa24,2d59df03,25,25,6f6d84,6f6d85,92ef6d85,92ef6d85,010,-,92ef6d85
d46af058,167b9ea2,56,56,66eb3b,66eb3b,ab66eb3b,ab66eb3b,011,-,ab66eb3b
d46af058,167b9ea2,56,56,66eb3b,66eb3b,ab66eb3b,ab66eb3b,011,-,ab66eb3b
c468ded5,709fc8ed,eb,eb,11592b,11592c,f591592c,f591592c,010,-,f591592c
c468ded5,709fc8ed,eb,eb,11592b,11592c,f591592c,f591592c,010,-,f591592c
91ff28c9,c6d5826b,32,32,54ceec,54ceed,1954ceed,1954ceec,000,+,1954ceec
8617dc5c,93c8b85b,b4,00,6e2308,000000,00000000,5a6e2308,000,+,5a6e2308
8617dc5c,93c8b85b,b4,00,6e2308,000000,00000000,5a6e2308,000,+,5a6e2308
b131a775,ec1e444a,bb,bb,5ba97c,5ba97c,5ddba97c,5ddba97c,010,+,5ddba97c
72839745,1a5befbc,9a,9a,621b45,621b45,4d621b45,4d621b45,001,+,4d621b45
9e539e2b,888cd0a7,ce,00,68cdf4,000000,00000000,6768cdf5,011,+,6768cdf5
9e539e2b,888cd0a7,ce,00,68cdf4,000000,00000000,6768cdf5,011,+,6768cdf5
8ff08e2a,f858d822,91,91,4bc30b,4bc30b,48cbc30b,48cbc30b,000,+,48cbc30b
95906071,1967485d,df,00,026fd5,000000,80000000,ef826fd5,011,-,ef826fd5
95906071,1967485d,df,00,026fd5,000000,80000000,ef826fd5,011,-,ef826fd5
adf2973e,97a75fc9,0c,0c,1e9b6e,1e9b6e,061e9b6e,061e9b6e,000,+,061e9b6e
6caf17bc,774abb80,49,ff,0aa8f8,000000,7f800000,248aa8f8,001,+,248aa8f8
6caf17bc,774abb80,49,ff,0aa8f8,000000,7f800000,248aa8f8,001,+,248aa8f8
6629bed2,0004d0b5,4d,00,30218e,000000,00000000,26b0218e,010,+,26b0218e
d73c28c9,2fbbec22,8f,8f,0a1f59,0a1f59,c78a1f59,c78a1f59,100,-,c78a1f59
d73c28c9,2fbbec22,8f,8f,0a1f59,0a1f59,c78a1f59,c78a1f59,100,-,c78a1f59
1a8a51a1,1809a965,e6,00,14c26b,000000,00000000,7314c26b,001,+,7314c26b
1a8a51a1,1809a965,e6,00,14c26b,000000,00000000,7314c26b,001,+,7314c26b
a8a02ed6,005626f6,d3,00,05ff87,000000,80000000,e985ff87,001,-,e985ff87
7fc00000,4123eac7,02,ff,75e02a,400000,7fc00000,0175e02b,100,+,0175e02b
7fc00000,4123eac7,02,ff,75e02a,400000,7fc00000,0175e02b,100,+,0175e02b
c9046ca7,7fc00000,12,ff,46a2fa,400000,7fc00000,8946a2fb,100,-,8946a2fb
34f7ea81,7fc00000,ea,ff,39efe0,400000,7fc00000,7539efe0,001,+,7539efe0
fc0ae491,ffc00000,78,ff,5056d9,400000,7fc00000,3c5056da,011,+,3c5056da
fc0ae491,ffc00000,78,ff,5056d9,400000,7fc00000,3c5056da,011,+,3c5056da
7fc00000,6c35e467,59,ff,086b4d,400000,7fc00000,2c886b4d,000,+,2c886b4d
7fc00000,6c35e467,59,ff,086b4d,400000,7fc00000,2c886b4d,000,+,2c886b4d
ffc00000,69475783,53,ff,1581a2,400000,7fc00000,a99581a2,001,-,a99581a2
ffc00000,38e34543,f2,ff,2a73f2,400000,7fc00000,f92a73f2,000,-,f92a73f2
ffc00000,38e34543,f2,ff,2a73f2,400000,7fc00000,f92a73f2,000,-,f92a73f2
d07a7296,7fc00000,21,ff,3bd5f0,400000,7fc00000,90bbd5f0,011,-,90bbd5f0
7fc00000,9bedf241,b8,ff,3275b0,400000,7fc00000,dc3275b1,010,-,dc3275b1
7fc00000,cccda538,1a,ff,1a3bea,400000,7fc00000,8d1a3bea,100,-,8d1a3bea
7fc00000,cccda538,1a,ff,1a3bea,400000,7fc00000,8d1a3bea,100,-,8d1a3bea
7fc00000,f1c1c3fc,64,ff,1152fd,400000,7fc00000,b21152fd,000,-,b21152fd
54bd5fc4,7fc00000,2a,ff,0e07d3,400000,7fc00000,150e07d3,001,+,150e07d3
54bd5fc4,7fc00000,2a,ff,0e07d3,400000,7fc00000,150e07d3,001,+,150e07d3
0fa20ff1,7fc00000,9f,ff,7317e9,400000,7fc00000,4ff317ea,011,+,4ff317ea
0fa20ff1,7fc00000,9f,ff,7317e9,400000,7fc00000,4ff317ea,011,+,4ff317ea
ffc00000,abed6d43,d8,ff,3211f2,400000,7fc00000,6c3211f2,010,+,6c3211f2
ffc00000,abed6d43,d8,ff,3211f2,400000,7fc00000,6c3211f2,010,+,6c3211f2
c30fd80a,7fc00000,06,ff,57c40f,400000,7fc00000,8357c40f,000,-,8357c40f
9be10e07,7fc00000,b8,ff,28ca85,400000,7fc00000,dc28ca85,100,-,dc28ca85
7fc00000,ca453124,15,ff,13e4db,400000,7fc00000,8a93e4db,011,-,8a93e4db
0ed36629,ffc00000,9e,ff,1e8c9e,400000,7fc00000,cf1e8c9e,011,-,cf1e8c9e
0ed36629,ffc00000,9e,ff,1e8c9e,400000,7fc00000,cf1e8c9e,011,-,cf1e8c9e
ffc00000,7356453b,67,ff,20b3ec,400000,7fc00000,b3a0b3ec,011,-,b3a0b3ec
7fc00000,898bf5e1,93,ff,51f0d1,400000,7fc00000,c9d1f0d2,000,-,c9d1f0d2
7fc00000,898bf5e1,93,ff,51f0d1,400000,7fc00000,c9d1f0d2,000,-,c9d1f0d2
4494f325,7fc00000,09,ff,5f6cb7,400000,7fc00000,04df6cb8,100,+,04df6cb8
ffc00000,1b04ef19,b6,ff,4766a5,400000,7fc00000,db4766a5,011,-,db4766a5
ffc00000,b121de4d,e2,ff,72cd73,400000,7fc00000,7172cd73,001,+,7172cd73
ffc00000,b121de4d,e2,ff,72cd73,400000,7fc00000,7172cd73,001,+,7172cd73
ffc00000,adef2064,dc,ff,33584b,400000,7fc00000,6e33584b,001,+,6e33584b
ffc00000,adef2064,dc,ff,33584b,400000,7fc00000,6e33584b,001,+,6e33584b
ffc00000,b77e9b9a,ef,ff,3ef4b3,400000,7fc00000,77bef4b3,010,+,77bef4b3
5ddfa10b,6d457c80,17,ff,2c83af,000000,7f800000,77bef4b3,110,+,77bef4b3
5ddfa10b,6d457c80,17,ff,2c83af,000000,7f800000,77bef4b3,110,+,77bef4b3
ae5835ab,3ddad157,59,59,38ce80,38ce81,acb8ce81,77bef4b3,110,-,77bef4b3
ae5835ab,3ddad157,59,59,38ce80,38ce81,acb8ce81,77bef4b3,110,-,77bef4b3
6a6be9b7,a409f331,9d,9d,7e405d,7e405e,cefe405e,77bef4b3,111,-,77bef4b3
4d204d38,986f8567,4c,4c,15fb9f,15fba0,a615fba0,77bef4b3,111,-,77bef4b3
7010c331,c2e3285d,e7,e7,0073e7,0073e8,f38073e8,77bef4b3,101,-,77bef4b3
d8f09e0e,86754ffe,3f,3f,669272,669273,1fe69273,77bef4b3,110,+,77bef4b3
d8f09e0e,86754ffe,3f,3f,669272,669273,1fe69273,77bef4b3,110,+,77bef4b3
a5e872c6,5d295688,87,87,19c256,19c257,c399c257,77bef4b3,101,-,77bef4b3
a5e872c6,5d295688,87,87,19c256,19c257,c399c257,77bef4b3,101,-,77bef4b3
80c8a325,a7ce0edb,d2,00,217eec,000000,00000000,77bef4b3,111,+,77bef4b3
10201600,89d3b42d,b5,00,0462cd,000000,80000000,77bef4b3,111,-,77bef4b3
10201600,89d3b42d,b5,00,0462cd,000000,80000000,77bef4b3,111,-,77bef4b3
0c8df523,e22a718c,5e,5e,3d0780,3d0780,af3d0780,77bef4b3,111,-,77bef4b3
b6a40272,7dca955d,ea,ea,01c99e,01c99f,f501c99f,77bef4b3,110,-,77bef4b3
b6a40272,7dca955d,ea,ea,01c99e,01c99f,f501c99f,77bef4b3,110,-,77bef4b3
889b9849,00000000,92,00,1b9849,000000,80000000,c91b9849,100,-,c91b9849
602ec6a8,80000000,41,00,2ec6a8,000000,80000000,a0aec6a8,000,-,a0aec6a8
602ec6a8,80000000,41,00,2ec6a8,000000,80000000,a0aec6a8,000,-,a0aec6a8
00000000,3a05b122,f5,00,05b122,000000,00000000,7a85b122,001,+,7a85b122
95a44f2f,80000000,ac,00,244f2f,000000,00000000,56244f30,011,+,56244f30
95a44f2f,80000000,ac,00,244f2f,000000,00000000,56244f30,011,+,56244f30
3865e255,00000000,f1,00,65e255,000000,00000000,78e5e255,001,+,78e5e255
3865e255,00000000,f1,00,65e255,000000,00000000,78e5e255,001,+,78e5e255
80000000,fad20a15,76,00,520a15,000000,00000000,3b520a15,010,+,3b520a15
80000000,d5b18e3d,2c,00,318e3d,000000,00000000,16318e3d,010,+,16318e3d
0a5c0678,80000000,95,00,5c0678,000000,80000000,cadc0678,100,-,cadc0678
0a5c0678,80000000,95,00,5c0678,000000,80000000,cadc0678,100,-,cadc0678
00000000,0abd92bc,96,00,3d92bc,000000,00000000,4b3d92bd,011,+,4b3d92bd
00000000,c0ab4551,02,00,2b4551,000000,80000000,812b4551,100,-,812b4551
00000000,c0ab4551,02,00,2b4551,000000,80000000,812b4551,100,-,812b4551
80000000,4276ca36,05,00,76ca36,000000,80000000,82f6ca36,100,-,82f6ca36
80000000,4276ca36,05,00,76ca36,000000,80000000,82f6ca36,100,-,82f6ca36
76af4746,80000000,6e,00,2f4746,000000,80000000,b72f4746,001,-,b72f4746
5b5f2696,80000000,37,00,5f2696,000000,80000000,9bdf2696,001,-,9bdf2696
5b5f2696,80000000,37,00,5f2696,000000,80000000,9bdf2696,001,-,9bdf2696
80000000,48fdc574,12,00,7dc574,000000,80000000,897dc574,011,-,897dc574
80000000,48fdc574,12,00,7dc574,000000,80000000,897dc574,011,-,897dc574
95015b6f,80000000,ab,00,015b6f,000000,00000000,55815b6f,001,+,55815b6f
11c24569,80000000,a4,00,424569,000000,80000000,d242456a,010,-,d242456a
80000000,05bf5c13,8c,00,3f5c13,000000,80000000,c63f5c13,011,-,c63f5c13
80000000,05bf5c13,8c,00,3f5c13,000000,80000000,c63f5c13,011,-,c63f5c13
00000000,ed9a6a09,5c,00,1a6a09,000000,80000000,ae1a6a0a,010,-,ae1a6a0a
cb344047,00000000,17,00,344047,000000,80000000,8bb44047,001,-,8bb44047
ff800000,72c9493a,65,ff,49493a,000000,ff800000,b2c9493a,001,-,b2c9493a
ff800000,72c9493a,65,ff,49493a,000000,ff800000,b2c9493a,001,-,b2c9493a
ff800000,7a93c310,75,ff,13c310,000000,ff800000,ba93c310,000,-,ba93c310
6e4d4b0b,ff800000,5c,ff,4d4b0b,000000,ff800000,ae4d4b0b,011,-,ae4d4b0b
6e4d4b0b,ff800000,5c,ff,4d4b0b,000000,ff800000,ae4d4b0b,011,-,ae4d4b0b
d5c5f650,ff800000,2b,ff,45f650,000000,7f800000,15c5f650,000,+,15c5f650
7f800000,970cd6de,ae,ff,0cd6de,000000,ff800000,d70cd6df,010,-,d70cd6df
7f800000,970cd6de,ae,ff,0cd6de,000000,ff800000,d70cd6df,010,-,d70cd6df
9b547706,7f800000,b6,ff,547706,000000,ff800000,db547706,000,-,db547706
d7aef4d1,7f800000,2f,ff,2ef4d1,000000,ff800000,97aef4d2,010,-,97aef4d2
d7aef4d1,7f800000,2f,ff,2ef4d1,000000,ff800000,97aef4d2,010,-,97aef4d2
ff800000,f16cbba8,62,ff,6cbba8,000000,7f800000,316cbba8,100,+,316cbba8
ff800000,f16cbba8,62,ff,6cbba8,000000,7f800000,316cbba8,100,+,316cbba8
7f800000,a0ea44c6,c1,ff,6a44c6,000000,ff800000,e0ea44c6,100,-,e0ea44c6
7f800000,cf07fe31,1e,ff,07fe31,000000,ff800000,8f07fe32,010,-,8f07fe32
7f800000,cf07fe31,1e,ff,07fe31,000000,ff800000,8f07fe32,010,-,8f07fe32
